省份,区站号,站名
福建,58843,霞浦
福建,58844,闽侯
福建,58845,罗源
福建,58846,宁德
福建,58847,福州
福建,58848,连江
福建,58850,三沙
福建,58911,长汀
福建,58917,武平
福建,58918,上杭
福建,58923,大田
福建,58926,漳平
福建,58927,龙岩
福建,58928,华安
福建,58929,安溪
福建,58931,九仙山
福建,58932,永泰
福建,58934,永春
福建,58935,德化
福建,58938,秀屿
福建,58941,长乐
福建,58942,福清
福建,58944,平潭
福建,58946,莆田
福建,59113,永定
福建,59122,长泰
福建,59124,南靖
福建,59125,平和
福建,59127,龙海
福建,59129,漳浦
福建,59130,同安
福建,59131,南安
福建,59133,崇武
福建,59134,厦门
福建,59320,诏安
福建,59322,云霄
甘肃,52323,马鬃山
甘肃,52515,肃北
甘肃,52533,酒泉
甘肃,52546,高台
甘肃,52557,临泽
甘肃,52643,肃南
甘肃,52652,张掖
甘肃,52656,民乐
甘肃,52674,永昌
甘肃,52679,武威
甘肃,52681,民勤
甘肃,52784,古浪
甘肃,52787,乌鞘岭
甘肃,52797,景泰
甘肃,52881,天祝
甘肃,52884,皋兰
甘肃,52885,永登
甘肃,52895,靖远
甘肃,52896,白银
甘肃,52978,夏河
甘肃,52980,永靖
甘肃,52981,东乡
甘肃,52982,广河
甘肃,52983,榆中
甘肃,52984,临夏
甘肃,52985,和政
甘肃,52986,临洮
甘肃,52988,康乐
甘肃,52993,会宁
甘肃,52995,安定
甘肃,52996,华家岭
甘肃,52998,渭源
甘肃,53821,环县
甘肃,53829,庆城
甘肃,53906,静宁
甘肃,53908,通渭
甘肃,53915,崆峒
甘肃,53917,庄浪
甘肃,53923,西峰
甘肃,53924,灵台
甘肃,53925,镇原
甘肃,53926,泾川
甘肃,53927,华亭
甘肃,53928,崇信
甘肃,53930,华池
甘肃,53934,合水
甘肃,53935,正宁
甘肃,53937,宁县
甘肃,56071,碌曲
甘肃,56074,玛曲
甘肃,56080,合作
甘肃,56081,临潭
甘肃,56082,卓尼
甘肃,56084,迭部
甘肃,56091,漳县
甘肃,56092,陇西
甘肃,56093,岷县
甘肃,56094,舟曲
甘肃,56095,宕昌
甘肃,56096,武都
甘肃,56192,文县
甘肃,57001,甘谷
甘肃,57002,秦安
甘肃,57004,武山
甘肃,57006,天水
甘肃,57007,礼县
甘肃,57008,西和
甘肃,57011,清水
甘肃,57012,张家川
甘肃,57014,麦积
甘肃,57102,成县
甘肃,57105,康县
甘肃,57110,徽县
甘肃,57111,两当
广东,57988,乐昌
广东,57989,仁化
广东,57996,南雄
广东,59071,连南
广东,59072,连州
广东,59074,连山
广东,59075,阳山
广东,59081,乳源
广东,59082,韶关
广东,59087,佛冈
广东,59088,英德
广东,59090,始兴
广东,59094,翁源
广东,59096,连平
广东,59097,新丰
广东,59099,和平
广东,59106,平远
广东,59107,龙川
广东,59109,兴宁
广东,59114,蕉岭
广东,59116,大埔
广东,59117,梅县
广东,59264,封开
广东,59268,郁南
广东,59269,德庆
广东,59270,怀集
广东,59271,广宁
广东,59276,四会
广东,59278,高要
广东,59279,三水
广东,59280,清远
广东,59284,花都
广东,59285,从化
广东,59287,广州
广东,59288,南海
广东,59289,东莞
广东,59290,龙门
广东,59293,河源
广东,59294,增城
广东,59297,博罗
广东,59298,惠阳
广东,59303,五华
广东,59304,紫金
广东,59306,揭西
广东,59310,丰顺
广东,59312,潮州
广东,59313,饶平
广东,59314,普宁
广东,59315,揭阳
广东,59316,汕头
广东,59317,惠来
广东,59318,潮阳
广东,59319,澄海
广东,59324,南澳
广东,59456,信宜
广东,59462,罗定
广东,59469,阳春
广东,59470,新兴
广东,59471,云浮
广东,59473,鹤山
广东,59475,开平
广东,59476,新会
广东,59477,恩平
广东,59478,台山
广东,59480,顺德
广东,59481,番禺
广东,59485,中山
广东,59487,斗门
广东,59488,珠海
广东,59492,惠东
广东,59493,深圳
广东,59500,海丰
广东,59501,汕尾
广东,59502,陆丰
广东,59650,遂溪
广东,59653,高州
广东,59654,廉江
广东,59655,化州
广东,59656,吴川
广东,59658,湛江
广东,59659,茂名
广东,59663,阳江
广东,59664,电白
广东,59673,上川岛
广东,59750,雷州
广东,59754,徐闻
广西,57859,资源
广西,57927,天峨
广西,57941,三江
广西,57942,龙胜
广西,57947,融安
广西,57948,融水
广西,57949,永福
广西,57954,临桂
广西,57955,兴安
广西,57956,灵川
广西,57957,桂林
广西,57960,全州
广西,57964,灌阳
广西,59001,隆林
广西,59004,西林
广西,59012,乐业
广西,59015,凌云
广西,59017,田林
广西,59021,凤山
广西,59023,河池
广西,59025,东兰
广西,59027,巴马
广西,59031,环江
广西,59034,宜州
广西,59037,都安
广西,59038,忻城
广西,59041,柳城
广西,59044,沙塘
广西,59045,鹿寨
广西,59046,柳州
广西,59047,柳江
广西,59052,恭城
广西,59053,平乐
广西,59055,荔浦
广西,59057,金秀
广西,59058,蒙山
广西,59059,昭平
广西,59065,贺州
广西,59209,那坡
广西,59211,百色
广西,59215,德保
广西,59218,靖西
广西,59224,田东
广西,59227,天等
广西,59228,平果
广西,59229,隆安
广西,59230,马山
广西,59235,上林
广西,59237,武鸣
广西,59238,宾阳
广西,59241,象州
广西,59242,来宾
广西,59246,武宣
广西,59255,平南
广西,59256,藤县
广西,59265,梧州
广西,59266,苍梧
广西,59419,凭祥
广西,59421,大新
广西,59429,上思
广西,59431,南宁
广西,59432,南宁城区
广西,59435,邕宁
广西,59441,横县
广西,59446,灵山
广西,59448,浦北
广西,59449,博白
广西,59451,北流
广西,59452,容县
广西,59454,岑溪
广西,59457,陆川
广西,59632,钦州
广西,59635,防城港
广西,59640,合浦
广西,59644,北海
贵州,56598,赫章
贵州,56691,威宁
贵州,56792,普安
贵州,56793,盘县
贵州,57606,桐梓
贵州,57623,道真
贵州,57625,正安
贵州,57634,务川
贵州,57636,沿河
贵州,57637,德江
贵州,57647,松桃
贵州,57707,毕节
贵州,57708,大方
贵州,57710,仁怀
贵州,57714,金沙
贵州,57717,遵义县
贵州,57718,息烽
贵州,57719,开阳
贵州,57722,湄潭
贵州,57723,凤冈
贵州,57728,瓮安
贵州,57729,余庆
贵州,57731,思南
贵州,57732,印江
贵州,57734,石阡
贵州,57735,岑巩
贵州,57736,江口
贵州,57737,施秉
贵州,57738,镇远
贵州,57739,玉屏
贵州,57741,铜仁
贵州,57742,万山
贵州,57800,纳雍
贵州,57803,黔西
贵州,57805,织金
贵州,57806,安顺
贵州,57807,六枝
贵州,57808,普定
贵州,57809,镇宁
贵州,57811,修文
贵州,57814,平坝
贵州,57816,贵阳
贵州,57821,福泉
贵州,57822,黄平
贵州,57824,贵定
贵州,57825,凯里
贵州,57827,都匀
贵州,57828,麻江
贵州,57829,丹寨
贵州,57832,三穗
贵州,57834,台江
贵州,57835,剑河
贵州,57837,雷山
贵州,57839,黎平
贵州,57840,天柱
贵州,57844,锦屏
贵州,57900,晴隆
贵州,57902,兴仁
贵州,57903,关岭
贵州,57905,贞丰
贵州,57906,望谟
贵州,57907,兴义
贵州,57908,安龙
贵州,57909,册亨
贵州,57910,紫云
贵州,57911,白云
贵州,57912,惠水
贵州,57913,龙里
贵州,57914,花溪
贵州,57915,乌当
贵州,57916,罗甸
贵州,57921,平塘
贵州,57922,独山
贵州,57923,三都
贵州,57926,荔波
贵州,57932,榕江
贵州,57936,从江
海南,59757,琼山
海南,59758,海口
海南,59838,东方
海南,59842,临高
海南,59843,澄迈
海南,59845,儋州
海南,59847,昌江
海南,59848,白沙
海南,59849,琼中
海南,59851,定安
海南,59854,屯昌
海南,59855,琼海
海南,59856,文昌
海南,59941,五指山
海南,59945,保亭
海南,59951,万宁
河北,53392,康保
河北,53397,尚义
河北,53399,张北
河北,53491,怀安
河北,53492,阳原
河北,53498,宣化
河北,53499,万全
河北,53593,蔚县
河北,53596,顺平
河北,53599,涞源
河北,53680,灵寿
河北,53682,曲阳
河北,53688,行唐
河北,53689,晋州
河北,53690,阜平
河北,53691,正定
河北,53692,唐县
河北,53693,井陉
河北,53694,平山
河北,53695,新乐
河北,53696,定州
河北,53697,藁城
河北,53699,无极
河北,53773,临漳
河北,53781,沙河
河北,53784,赵县
河北,53785,柏乡
河北,53789,栾城
河北,53790,高邑
河北,53791,元氏
河北,53792,临城
河北,53794,隆尧
河北,53795,赞皇
河北,53796,宁晋
河北,53797,内邱
河北,53798,邢台
河北,53799,巨鹿
河北,53883,任县
河北,53886,涉县
河北,53890,武安
河北,53891,南和
河北,53892,邯郸
河北,53893,曲周
河北,53894,峰峰
河北,53895,永年
河北,53896,魏县
河北,53897,磁县
河北,53899,广平
河北,53980,肥乡
河北,53996,成安
河北,54301,沽源
河北,54304,崇礼
河北,54308,丰宁
河北,54311,围场
河北,54318,隆化
河北,54319,平泉
河北,54401,张家口
河北,54404,赤城
河北,54405,怀来
河北,54408,涿鹿
河北,54420,滦平
河北,54423,承德
河北,54425,兴隆
河北,54429,遵化
河北,54430,承德县
河北,54432,宽城
河北,54434,迁西
河北,54436,青龙
河北,54437,滦南
河北,54438,卢龙
河北,54439,迁安
河北,54449,秦皇岛
河北,54502,涿州
河北,54503,容城
河北,54506,高碑店
河北,54507,易县
河北,54510,大厂
河北,54512,固安
河北,54515,廊坊
河北,54518,霸州
河北,54519,永清
河北,54520,三河
河北,54521,香河
河北,54522,玉田
河北,54531,滦县
河北,54532,丰润
河北,54533,丰南
河北,54534,唐山
河北,54535,曹妃甸
河北,54539,乐亭
河北,54540,昌黎
河北,54541,抚宁
河北,54601,徐水
河北,54602,保定
河北,54603,高阳
河北,54604,安国
河北,54605,安新
河北,54606,饶阳
河北,54607,望都
河北,54608,深州
河北,54609,安平
河北,54610,任丘
河北,54611,满城
河北,54612,文安
河北,54613,大城
河北,54614,河间
河北,54615,青县
河北,54616,沧州
河北,54617,献县
河北,54618,泊头
河北,54620,蠡县
河北,54621,深泽
河北,54624,黄骅
河北,54626,肃宁
河北,54627,盐山
河北,54628,海兴
河北,54631,广宗
河北,54632,平乡
河北,54633,新河
河北,54636,雄县
河北,54640,鸡泽
河北,54644,孟村
河北,54700,武强
河北,54701,辛集
河北,54702,衡水
河北,54703,武邑
河北,54704,冀州
河北,54705,南宫
河北,54706,清河
河北,54707,故城
河北,54708,枣强
河北,54710,阜城
河北,54711,景县
河北,54713,东光
河北,54717,吴桥
河北,54719,南皮
河北,54800,威县
河北,54801,临西
河北,54804,大名
河北,54809,馆陶
河北,54820,邱县
河南,53889,林州
河南,53898,安阳
河南,53972,沁阳
河南,53974,淇县
河南,53978,济源
河南,53979,博爱
河南,53982,焦作
河南,53983,封丘
河南,53984,修武
河南,53985,辉县
河南,53986,新乡
河南,53987,武陟
河南,53989,原阳
河南,53988,获嘉
河南,53991,汤阴
河南,53992,浚县
河南,53993,内黄
河南,53994,卫辉
河南,53995,滑县
河南,53997,延津
河南,53998,长垣
河南,54817,台前
河南,54900,濮阳
河南,54901,南乐
河南,54902,清丰
河南,54903,范县
河南,57051,三门峡
河南,57056,灵宝
河南,57063,渑池
河南,57066,洛宁
河南,57070,新安
河南,57071,孟津
河南,57072,孟州
河南,57074,伊川
河南,57075,汝州
河南,57076,偃师
河南,57078,汝阳
河南,57079,温县
河南,57080,巩义
河南,57081,荥阳
河南,57082,登封
河南,57083,郑州
河南,57084,嵩山
河南,57085,新密
河南,57086,新郑
河南,57087,长葛
河南,57088,禹州
河南,57089,许昌
河南,57090,中牟
河南,57091,开封
河南,57093,兰考
河南,57094,尉氏
河南,57095,鄢陵
河南,57096,杞县
河南,57098,扶沟
河南,57099,太康
河南,57156,西峡
河南,57162,嵩县
河南,57169,内乡
河南,57173,鲁山
河南,57175,镇平
河南,57176,南召
河南,57177,舞钢
河南,57178,南阳
河南,57179,方城
河南,57180,郏县
河南,57181,宝丰
河南,57182,襄城
河南,57183,临颍
河南,57184,叶县
河南,57185,舞阳
河南,57186,漯河
河南,57187,社旗
河南,57188,西平
河南,57189,遂平
河南,57190,黄泛区农试站
河南,57191,通许
河南,57192,淮阳
河南,57193,西华
河南,57194,上蔡
河南,57195,川汇区
河南,57196,项城
河南,57197,汝南
河南,57198,商水
河南,57261,淅川
河南,57271,新野
河南,57273,唐河
河南,57274,邓州
河南,57281,泌阳
河南,57285,桐柏
河南,57290,驻马店
河南,57292,平舆
河南,57293,新蔡
河南,57294,确山
河南,57295,正阳
河南,57296,息县
河南,57297,信阳
河南,57298,罗山
河南,57299,光山
河南,57390,鸡公山
河南,57396,新县
河南,58001,睢县
河南,58004,民权
河南,58005,商丘
河南,58006,虞城
河南,58007,柘城
河南,58008,宁陵
河南,58017,夏邑
河南,58100,郸城
河南,58101,鹿邑
河南,58104,沈丘
河南,58111,永城
河南,58205,淮滨
河南,58207,潢川
河南,58208,固始
河南,58301,商城
黑龙江,50136,漠河
黑龙江,50137,北极村
黑龙江,50246,塔河
黑龙江,50247,呼中
黑龙江,50349,新林
黑龙江,50353,呼玛
黑龙江,50442,加格达奇
黑龙江,50468,爱辉
黑龙江,50557,嫩江
黑龙江,50564,孙吴
黑龙江,50566,逊克
黑龙江,50646,讷河
黑龙江,50655,五大连池
黑龙江,50656,北安
黑龙江,50658,克山
黑龙江,50659,克东
黑龙江,50673,嘉荫
黑龙江,50674,乌伊岭
黑龙江,50739,龙江
黑龙江,50741,甘南
黑龙江,50742,富裕
黑龙江,50745,齐齐哈尔
黑龙江,50749,林甸
黑龙江,50750,依安
黑龙江,50755,拜泉
黑龙江,50756,海伦
黑龙江,50758,明水
黑龙江,50767,绥棱
黑龙江,50772,五营
黑龙江,50774,伊春
黑龙江,50775,鹤岗
黑龙江,50776,萝北
黑龙江,50778,同江
黑龙江,50779,抚远
黑龙江,50787,绥滨
黑龙江,50788,富锦
黑龙江,50842,杜蒙
黑龙江,50844,泰来
黑龙江,50850,大庆
黑龙江,50851,青冈
黑龙江,50852,望奎
黑龙江,50853,北林
黑龙江,50854,安达
黑龙江,50858,肇东
黑龙江,50859,兰西
黑龙江,50861,庆安
黑龙江,50862,铁力
黑龙江,50867,巴彦
黑龙江,50871,汤原
黑龙江,50873,佳木斯
黑龙江,50877,依兰
黑龙江,50878,桦川
黑龙江,50879,桦南
黑龙江,50880,集贤
黑龙江,50884,双鸭山
黑龙江,50888,宝清
黑龙江,50892,饶河
黑龙江,50950,肇州
黑龙江,50953,哈尔滨
黑龙江,50954,肇源
黑龙江,50956,呼兰
黑龙江,50958,阿城
黑龙江,50960,宾县
黑龙江,50962,木兰
黑龙江,50963,通河
黑龙江,50964,方正
黑龙江,50965,延寿
黑龙江,50968,尚志
黑龙江,50971,七台河
黑龙江,50973,勃利
黑龙江,50978,鸡西
黑龙江,50979,林口
黑龙江,50983,虎林
黑龙江,50985,密山
黑龙江,50987,鸡东
黑龙江,54080,五常
黑龙江,54092,海林
黑龙江,54093,穆棱
黑龙江,54094,牡丹江
黑龙江,54096,绥芬河
黑龙江,54098,宁安
黑龙江,54099,东宁
湖北,57249,竹溪
湖北,57251,郧西
湖北,57253,郧县
湖北,57256,十堰
湖北,57257,竹山
湖北,57259,房县
湖北,57260,丹江口
湖北,57265,老河口
湖北,57268,谷城
湖北,57278,襄阳
湖北,57279,枣阳
湖北,57355,巴东
湖北,57359,兴山
湖北,57361,保康
湖北,57362,神农架
湖北,57363,南漳
湖北,57370,宜城
湖北,57377,荆门
湖北,57378,钟祥
湖北,57381,随州
湖北,57386,孝昌
湖北,57387,京山
湖北,57388,安陆
湖北,57389,云梦
湖北,57395,大悟
湖北,57398,红安
湖北,57399,麻城
湖北,57439,利川
湖北,57445,建始
湖北,57447,恩施
湖北,57453,夷陵区
湖北,57458,五峰
湖北,57461,宜昌
湖北,57464,长阳
湖北,57465,宜都
湖北,57469,松滋
湖北,57475,潜江
湖北,57476,荆州
湖北,57477,公安
湖北,57481,应城
湖北,57482,孝感
湖北,57483,天门
湖北,57484,沙洋
湖北,57485,仙桃
湖北,57486,汉川
湖北,57489,蔡甸
湖北,57492,新洲
湖北,57494,武汉
湖北,57495,团风
湖北,57496,鄂州
湖北,57498,黄冈
湖北,57499,大冶
湖北,57540,咸丰
湖北,57541,宣恩
湖北,57543,鹤峰
湖北,57545,来凤
湖北,57571,石首
湖北,57573,监利
湖北,57581,洪湖
湖北,57582,赤壁
湖北,57583,嘉鱼
湖北,57586,崇阳
湖北,57589,通城
湖北,57590,咸宁
湖北,57596,金沙
湖北,58401,罗田
湖北,58402,英山
湖北,58404,浠水
湖北,58408,蕲春
湖北,58409,黄梅
湖北,58500,阳新
湖北,58501,武穴
湖南,57544,龙山
湖南,57554,桑植
湖南,57558,张家界
湖南,57562,石门
湖南,57564,慈利
湖南,57565,澧县
湖南,57566,临澧
湖南,57574,南县
湖南,57575,华容
湖南,57577,安乡
湖南,57584,岳阳
湖南,57585,临湘
湖南,57640,花垣
湖南,57642,保靖
湖南,57643,永顺
湖南,57646,古丈
湖南,57649,吉首
湖南,57655,沅陵
湖南,57657,泸溪
湖南,57658,辰溪
湖南,57661,桃源
湖南,57662,常德
湖南,57663,汉寿
湖南,57666,桃江
湖南,57669,安化
湖南,57671,沅江
湖南,57673,湘阴
湖南,57674,赫山
湖南,57678,宁乡
湖南,57679,马坡岭
湖南,57680,汨罗
湖南,57682,平江
湖南,57687,长沙
湖南,57688,浏阳
湖南,57740,凤凰
湖南,57743,麻阳
湖南,57744,新晃
湖南,57745,芷江
湖南,57752,溆浦
湖南,57754,洪江
湖南,57760,冷水江
湖南,57761,新化
湖南,57762,涟源
湖南,57763,娄底
湖南,57771,韶山
湖南,57772,湘乡
湖南,57773,湘潭
湖南,57774,双峰
湖南,57776,南岳
湖南,57777,衡山
湖南,57778,衡东
湖南,57779,攸县
湖南,57780,株洲
湖南,57781,醴陵
湖南,57845,通道
湖南,57865,冷水滩
湖南,57866,永州
湖南,57867,东安
湖南,57868,祁阳
湖南,57870,祁东
湖南,57871,衡阳县
湖南,57872,衡阳
湖南,57874,常宁
湖南,57875,衡南
湖南,57876,耒阳
湖南,57881,安仁
湖南,57882,茶陵
湖南,57886,炎陵
湖南,57887,永兴
湖南,57889,桂东
湖南,57962,双牌
湖南,57965,道县
湖南,57966,宁远
湖南,57969,江永
湖南,57971,新田
湖南,57972,郴州
湖南,57973,桂阳
湖南,57974,嘉禾
湖南,57975,蓝山
湖南,57976,宜章
湖南,57978,临武
湖南,57981,资兴
湖南,57985,汝城
湖南,59063,江华
吉林,50936,白城
吉林,50939,洮南
吉林,50940,镇赉
吉林,50945,大安
吉林,50946,松原
吉林,50948,乾安
吉林,50949,前郭
吉林,54041,通榆
吉林,54049,长岭
吉林,54063,扶余
吉林,54064,农安
吉林,54065,德惠
吉林,54069,九台
吉林,54072,榆树
吉林,54076,舒兰
吉林,54142,双辽
吉林,54154,梨树
吉林,54155,孤家子
吉林,54157,四平
吉林,54161,长春
吉林,54164,伊通
吉林,54165,双阳
吉林,54169,烟筒山
吉林,54171,永吉
吉林,54172,吉林城郊
吉林,54181,蛟河
吉林,54186,敦化
吉林,54187,安图
吉林,54192,罗子沟
吉林,54195,汪清
吉林,54260,辽源
吉林,54261,东丰
吉林,54263,磐石
吉林,54266,梅河口
吉林,54267,柳河
吉林,54273,桦甸
吉林,54274,辉南
吉林,54276,靖宇
吉林,54279,江源
吉林,54284,东岗
吉林,54285,二道
吉林,54286,和龙
吉林,54290,龙井
吉林,54291,珲春
吉林,54292,延吉
吉林,54293,图们
吉林,54362,通化县
吉林,54363,通化
吉林,54371,白山
吉林,54374,临江
吉林,54377,集安
吉林,54386,长白
江苏,58012,丰县
江苏,58013,沛县
江苏,58026,邳州
江苏,58027,徐州
江苏,58035,新沂
江苏,58036,东海
江苏,58038,沭阳
江苏,58040,赣榆
江苏,58041,西连岛
江苏,58044,连云港
江苏,58045,响水
江苏,58047,灌云
江苏,58048,灌南
江苏,58049,滨海
江苏,58130,睢宁
江苏,58131,宿豫
江苏,58132,泗阳
江苏,58135,泗洪
江苏,58138,盱眙
江苏,58139,洪泽
江苏,58140,涟水
江苏,58141,淮安
江苏,58143,阜宁
江苏,58145,楚州
江苏,58146,建湖
江苏,58147,金湖
江苏,58148,宝应
江苏,58150,射阳
江苏,58154,盐城
江苏,58158,大丰
江苏,58235,六合
江苏,58237,浦口
江苏,58238,南京
江苏,58241,高邮
江苏,58242,仪征
江苏,58243,兴化
江苏,58244,江都
江苏,58245,扬州
江苏,58246,泰州
江苏,58247,扬中
江苏,58249,泰兴
江苏,58250,姜堰
江苏,58251,东台
江苏,58252,丹徒
江苏,58254,海安
江苏,58255,如皋
江苏,58257,靖江
江苏,58259,南通
江苏,58264,如东
江苏,58265,吕泗
江苏,58268,通州
江苏,58269,启东
江苏,58339,高淳
江苏,58340,溧水
江苏,58341,丹阳
江苏,58342,金坛
江苏,58344,句容
江苏,58345,溧阳
江苏,58346,宜兴
江苏,58349,苏州
江苏,58351,江阴
江苏,58352,常熟
江苏,58353,张家港
江苏,58354,无锡
江苏,58356,昆山
江苏,58358,东山
江苏,58359,吴江
江苏,58360,海门
江苏,58377,太仓
江西,57598,修水
江西,57694,铜鼓
江西,57696,宜丰
江西,57698,万载
江西,57699,上高
江西,57786,萍乡
江西,57789,莲花
江西,57792,分宜
江西,57793,宜春
江西,57796,新余
江西,57798,安福
江西,57799,吉安县
江西,57883,夏坪
江西,57891,永新
江西,57894,井冈山
江西,57895,万安
江西,57896,遂川
江西,57899,泰和
江西,57990,崇义
江西,57991,上犹
江西,57992,南康
江西,57993,赣县
江西,57994,大余
江西,57995,信丰
江西,58502,九江
江西,58503,瑞昌
江西,58506,庐山
江西,58507,武宁
江西,58508,德安
江西,58509,永修
江西,58510,湖口
江西,58512,彭泽
江西,58514,星子
江西,58517,都昌
江西,58519,波阳
江西,58527,景德镇
江西,58529,婺源
江西,58600,靖安
江西,58601,奉新
江西,58602,安义
江西,58605,高安
江西,58606,南昌
江西,58607,南昌县
江西,58608,樟树
江西,58609,丰城
江西,58612,余干
江西,58614,进贤
江西,58615,万年
江西,58616,余江
江西,58618,东乡
江西,58619,临川
江西,58620,乐平
江西,58622,德兴
江西,58623,上饶县
江西,58624,弋阳
江西,58625,横峰
江西,58626,贵溪
江西,58627,鹰潭
江西,58629,铅山
江西,58634,玉山
江西,58635,广丰
江西,58637,上饶
江西,58693,新建
江西,58701,新干
江西,58704,峡江
江西,58705,永丰
江西,58706,乐安
江西,58707,吉水
江西,58710,崇仁
江西,58712,金溪
江西,58713,资溪
江西,58714,宜黄
江西,58715,南城
江西,58718,南丰
江西,58719,黎川
江西,58804,兴国
江西,58806,宁都
江西,58813,广昌
江西,58814,石城
江西,58903,瑞金
江西,58905,于都
江西,58906,会昌
江西,58907,安远
江西,59091,全南
江西,59092,龙南
江西,59093,定南
江西,59102,寻乌
江西,58524,浮梁
江西,57794,芦溪
江西,57783,上栗
江西,58505,九江县
辽宁,54236,彰武
辽宁,54243,昌图
辽宁,54244,康平
辽宁,54245,法库
辽宁,54248,沈北新区
辽宁,54249,铁岭
辽宁,54252,西丰
辽宁,54254,开原
辽宁,54259,清原
辽宁,54321,建平镇
辽宁,54323,北票
辽宁,54324,朝阳
辽宁,54325,羊山
辽宁,54326,建平县
辽宁,54327,凌源
辽宁,54328,喀左
辽宁,54332,辽中
辽宁,54333,新民
辽宁,54336,台安
辽宁,54338,盘山
辽宁,54339,鞍山
辽宁,54340,苏家屯
辽宁,54342,沈阳
辽宁,54345,辽阳县
辽宁,54346,本溪
辽宁,54347,辽阳
辽宁,54348,灯塔
辽宁,54351,抚顺
辽宁,54353,新宾
辽宁,54452,建昌
辽宁,54453,连山区
辽宁,54454,绥中
辽宁,54455,兴城
辽宁,54470,大洼
辽宁,54471,营口
辽宁,54474,盖州
辽宁,54475,大石桥
辽宁,54476,熊岳
辽宁,54483,草河口
辽宁,54486,岫岩
辽宁,54493,宽甸
辽宁,54494,凤城
辽宁,54497,丹东
辽宁,54563,瓦房店
辽宁,54568,金州
辽宁,54569,普兰店
辽宁,54575,皮口
辽宁,54579,长海
辽宁,54584,庄河
辽宁,54590,东港
辽宁,54662,大连
辽宁,54565,长兴岛
内蒙古,50425,额尔古纳市
内蒙古,50431,根河市
内蒙古,50434,图里河
内蒙古,50445,鄂伦春自治旗
内蒙古,50514,满洲里
内蒙古,50524,陈巴尔虎旗
内蒙古,50525,鄂温克族自治旗
内蒙古,50526,牙克石市
内蒙古,50527,海拉尔
内蒙古,50548,小二沟
内蒙古,50603,新巴尔虎右旗
内蒙古,50618,新巴尔虎左旗
内蒙古,50639,扎兰屯
内蒙古,50645,莫力达瓦达斡尔族自治旗
内蒙古,50647,阿荣旗
内蒙古,50727,阿尔山
内蒙古,50834,索伦
内蒙古,50913,乌拉盖
内蒙古,50915,东乌珠穆沁
内蒙古,50924,霍林郭勒
内蒙古,50928,巴雅尔吐胡硕
内蒙古,50934,突泉
内蒙古,50937,科尔沁右翼中旗
内蒙古,53068,二连浩特
内蒙古,53083,那仁宝力格
内蒙古,53149,满都拉气象站
内蒙古,53192,阿巴嘎旗
内蒙古,53231,海力素
内蒙古,53289,镶黄旗
内蒙古,53336,乌拉特中旗
内蒙古,53337,五原
内蒙古,53348,大佘太
内蒙古,53352,达茂旗气象局
内蒙古,53357,固阳县气象局
内蒙古,53362,四子王
内蒙古,53367,希拉穆仁
内蒙古,53368,武川县
内蒙古,53378,察右中旗
内蒙古,53384,察右后旗
内蒙古,53385,商都
内蒙古,53391,化德
内蒙古,53419,磴口
